symbol	lab	z	pvalue
MTX1	S+	5.91938001387894	1.20398197788403e-06
TRIM37	O+	2.23908891063302	0.00576648397368714
MX2	S+	3.31536531674096	0.000483765266163643
MYBL2	S+	1.99387729663591	0.0101419789159824
MYBPC3	S+	5.15385515319686	7.01689288275141e-06
MYD88	S+	4.38286622053539	4.1412722234413e-05
MYH9	S+	2.61254792700175	0.00244034974594555
MYO7B	S+	2.1581598478093	0.00694768551798182
MYO9B	S+	4.78878317069442	1.62636054274033e-05
NAGA	S+	2.43481657543013	0.00367437455190087
HNRNPM	N+	3.0286747076251	0.000936106567963608
NCF2	S+	2.75762003795703	0.0017473502322383
NCF4	S+	5.14587062097485	7.14709210679655e-06
NDUFA4	O+	2.83924360112512	0.00144795944742978
NDUFA5	O+	2.09728024727185	0.00799318293899727
NDUFA6	O+	2.58742518999395	0.00258568020117812
NDUFB5	O+	2.00816244319528	0.00981380799393664
NDUFS2	S+	2.71133334978627	0.00194386746179819
NDUFS4	O+	3.01628953442718	0.000963186674493486
NDUFS5	O+	4.33551358846748	4.61834541511722e-05
NEU1	S+	3.50802043959242	0.000310441347888211
NFE2	S+	5.33663921183019	4.60639088505266e-06
NFIC	S+	3.20292115236243	0.000626727638874478
NFKB2	S+	2.86962345510961	0.00135013297654071
NFKBIB	S+	2.4163593268811	0.00383389904814139
NFX1	O+	2.63664164386089	0.00230865137629934
NFYC	S+	5.22486593265022	5.95846053700144e-06
NINJ1	S+	5.60784027567511	2.46694646114484e-06
NINJ2	S+	2.2392360313313	0.00576453086236636
NME2	N+	2.91711048380169	0.00121029019854775
CNOT3	S+	4.83380762159789	1.46619717503203e-05
CCN3	S+	3.19058326591693	0.000644787684898821
NRGN	S+	4.81590502444588	1.52790015711318e-05
NUCB1	S+	2.51798296362725	0.00303401019909556
NUCB2	O+	3.4509463583097	0.000354041067608376
NUP88	O+	2.7380531377362	0.00182787655416106
OAS1	S+	2.32467407194639	0.00473506481412061
OAS2	S+	2.2411962328493	0.005738571103958
OAZ2	S+	2.10302936435516	0.00788806781491726
OPRL1	S+	3.33794905898477	0.000459251878096248
ORC4	O+	2.63055502958538	0.00234123479780312
SLC22A18	S+	2.83183888925932	0.00147285878927558
OTX1	S+	2.701449183882	0.00198861548157111
P4HB	S+	2.98610124868421	0.00103252066232615
FURIN	S+	5.94463069556518	1.13597638814699e-06
PCSK6	S+	2.87222123688961	0.00134208110835434
PAK1	S+	2.16017340899625	0.00691554785585853
PAM	O+	2.14697964876282	0.00712886435526802
PBX2	S+	2.8769582615516	0.00132752203486871
PCBP1	S+	5.44504660762997	3.58883417915431e-06
PCM1	O+	2.80162509174383	0.00157897374350293
CHMP1A	S+	4.11998746263335	7.58599474230921e-05
PECAM1	S+	2.28781187418946	0.00515451877449846
PEX6	S+	2.03259919783953	0.00927685571903984
PF4	S+	4.26833501402741	5.39094605413218e-05
PFDN4	O+	3.80774014977003	0.000155689688683726
PFDN5	O+	2.29586487404699	0.00505982068271544
PFKFB3	S+	2.54697442740603	0.0028380861387567
PFKFB4	S+	5.57886478208137	2.63715233741116e-06
PFN1	S+	3.46797529728203	0.000340427552707007
PGD	S+	6.55332264251414	2.79690269547532e-07
PGM1	S+	2.00345958571943	0.00992065653914741
PHKG2	S+	2.90428142395511	0.00124657546831391
SERPINA1	S+	6.19118920957458	6.4388868067893e-07
PIGC	O+	2.18877809855572	0.00647473355787416
PIGF	O+	3.08251332298482	0.000826964139146648
PIGH	O+	1.98695082933676	0.0103050278698765
PIK3CD	S+	5.6439389266106	2.27018407787825e-06
PIK3R1	O+	2.44928144674266	0.00355400924550537
PI4KB	S+	3.61712234134593	0.000241478049167554
PITPNA	S+	2.77023619607016	0.00169732029414865
PKM	S+	3.15688331301714	0.000696813710058861
PLAUR	S+	4.81608711980061	1.52725965806779e-05
PLCB2	S+	3.92732862271741	0.000118214670834646
PLCG1	O+	2.21046347284297	0.00615937331508544
PLCG2	S+	3.46894432377728	0.000339668815083395
PLD2	S+	2.48338043617007	0.0032856368737192
PLOD1	S+	4.04880488021151	8.93706918117737e-05
PLRG1	O+	3.02063949704001	0.000953587397744168
PLXNA2	S+	2.80476899628063	0.00156758465563997
PMM2	S+	3.1980769697665	0.000633757380839317
SEPTIN5	S+	2.13898472840326	0.00726131490783603
SEPTIN4	S+	2.97169382811115	0.00106734832256048
POLR2A	S+	3.04444367142264	0.000902726784754203
POLR2E	S+	4.25832503934587	5.51664402131601e-05
POR	S+	4.43152502368222	3.70232872279306e-05
PPA1	O+	4.81506709199707	1.53085094985528e-05
CTSA	S+	7.73597109291569	1.83666058928472e-08
PPP1CA	S+	2.63413377483344	0.00232202143871356
PPP1CC	O+	2.91127774186657	0.0012266545049183
PPP1R8	O+	2.58942610140211	0.00257379467843339
PPP1R10	S+	3.61938176628247	0.000240225017513476
PPP2R1A	S+	2.30514382333325	0.00495286141978033
PPP2R1B	O+	2.1302072766377	0.00740956519025803
PPP2R5C	O+	2.01039683306016	0.00976344686207088
PPP4C	S+	4.96537267182626	1.08299718598434e-05
PRCC	S+	2.33364896443787	0.00463821670333637
PRKACA	S+	4.91876877464817	1.20567769166935e-05
PRKACB	O+	3.90864471694463	0.000123411401137531
PKIA	O+	2.9994586351861	0.00100124731580247
PRKCA	O+	2.2353549537453	0.0058162765265872
PRKCD	S+	6.02711430520596	9.39476010318928e-07
PRKCSH	S+	2.77639535405344	0.00167341880845466
MAPK3	S+	5.21368103334848	6.11390894782073e-06
MAPK13	S+	2.06086890310233	0.00869222774806919
MAP2K2	S+	2.83272001664787	0.00146987357842792
MAP2K3	S+	3.70945148565506	0.00019523088111707
MAP2K7	S+	2.72013858331676	0.00190485278267931
EIF2AK2	O+	2.32627590265956	0.00471763239880858
PSAP	S+	5.17847604979302	6.63015910259192e-06
PSMA2	O+	2.19050959530621	0.00644897071348975
PSMA3	O+	2.60802919045395	0.00246587359165942
PSMA4	O+	2.88963142325068	0.00128934332652414
PSMA6	O+	2.71230946164398	0.00193950336913962
PSMB3	S+	4.24612508676371	5.67381163094205e-05
PSMC6	O+	2.35531406108378	0.00441251240069541
PTAFR	S+	6.41277646793104	3.86565891945643e-07
PTGER2	O+	4.15766015409361	6.95568403732388e-05
PTGIR	S+	2.51000705359502	0.0030902452418794
PTGS1	S+	3.9685283129973	0.000107515650533789
QSOX1	S+	2.95567868411142	0.00110744283047583
PTPN6	S+	3.85899818324214	0.00013835721667735
PTPRF	S+	3.91088101299734	0.000122777556820645
PTS	O+	2.43811731177598	0.0036465543276898
PVR	S+	2.27713646616731	0.00528279227171641
NECTIN1	S+	4.75464709984323	1.75935265269777e-05
PEX2	O+	2.2564422550555	0.00554061208486828
PXN	S+	6.66723322905213	2.15162593728848e-07
PYGL	S+	2.3092443403048	0.00490631762020338
RGL2	S+	2.56687014170397	0.00271100212685227
MAP4K2	S+	2.58239251195237	0.00261581778391219
RABGGTB	O+	2.817334708078	0.00152287862824573
RAB5C	S+	5.17791483097567	6.63873249106643e-06
RAC1	S+	4.16064129355629	6.9081014436722e-05
RAC2	S+	3.91144610225901	0.000122617906712802
RAD51C	O+	2.95801378199277	0.00110150435361509
RAF1	S+	2.47430405814554	0.00335502639971951
RALB	S+	2.10679307731447	0.00782000305431709
RANBP2	O+	2.2252234727022	0.00595355715535393
RAP1GDS1	O+	2.64765250306623	0.00225085488736461
RARA	S+	6.74980975693714	1.77905855746993e-07
RARS1	O+	3.56718983535233	0.000270900723334053
RASGRF2	O+	2.8098478774077	0.00154935922600947
RBBP4	O+	2.59228589745602	0.00255690211585352
RBL1	O+	2.78040176114052	0.00165805235140134
RECQL	O+	3.1782491058416	0.000663362464907278
RELB	S+	4.58790672076326	2.58281487677292e-05
UPF1	S+	3.26957456782254	0.000537558127136047
DPF2	S+	5.19966966415224	6.31437449860148e-06
RFC1	O+	2.14757244724256	0.00711914031484345
RFX1	S+	2.65544419606101	0.00221083231522903
RFX2	S+	2.96951812985432	0.00107270886609821
RNASE2	S+	2.67999492267118	0.00208932055691958
RNPEP	S+	2.1346777263106	0.00733368536629597
RORA	O+	2.39974260411928	0.00398343189020565
RPL7	O+	4.97316660461055	1.06373486859651e-05
RPL11	O+	5.28912662115212	5.13893800929184e-06
RPL17	O+	5.91645356197113	1.21212229106783e-06
RPL22	O+	4.63108935135399	2.33835609789725e-05
RPL26	O+	5.1211786282408	7.5652166857111e-06
RPL27	O+	3.91985915787766	0.000120265439336998
RPL32	O+	2.83025510859021	0.00147823980137153
RPL34	O+	4.9261035800985	1.18548597368266e-05
RPL37	O+	3.40045212890752	0.000397692930662288
RPL41	O+	2.26713505230997	0.00540586191022212
RPS6KA1	S+	6.05393380301104	8.83214513424782e-07
RPS6KB2	S+	2.0701948506561	0.00850756252078762
RPS10	O+	3.3166607131623	0.000482324460099547
RPS24	O+	4.38325652313654	4.13755211348096e-05
RRBP1	S+	2.19797370758561	0.00633908087221406
RRM1	O+	2.72330021413142	0.00189103595297798
RTN2	S+	3.80752312216022	0.00015576751008466
RXRA	S+	4.7081579977382	1.95813216908712e-05
S100A11	S+	6.24303624056178	5.71430950496697e-07
SAFB	S+	2.35280259041345	0.00443810333128094
SATB1	O+	2.709590616746	0.00195168346739737
MSMO1	O+	2.33959688132128	0.00457512662727062
CLEC11A	S+	3.77030453406342	0.000169705323494741
SCN1B	S+	3.96163328639813	0.000109236232616538
SEC14L1	S+	3.7580633544143	0.000174556749282819
SECTM1	S+	5.68717770243177	2.05504954908982e-06
SELP	S+	2.59544101148736	0.0025383937425956
SELPLG	S+	6.55060401728437	2.81446584549118e-07
SET	O+	2.45002392816035	0.00354793840751742
SFPQ	O+	2.32552601533291	0.00472578527406815
SRSF1	O+	2.10286608907053	0.0078910339328466
SRSF2	O+	2.02313643431135	0.00948120562907677
SRSF3	O+	2.12331312600799	0.00752812590681127
SRSF6	O+	2.74190500626757	0.00181173633245854
SRSF7	O+	3.21501901832056	0.000609510205410615
TRA2B	O+	4.5487702976947	2.82637447484463e-05
SGTA	S+	3.09735299087643	0.000799184420624846
SH3BP2	S+	4.48397821608402	3.28111750562729e-05
SH3GL1	S+	3.90688777312651	0.000123911674770708
ST3GAL2	S+	4.43206542270958	3.69772472557853e-05
ST3GAL4	S+	3.86240720429353	0.000137275424608739
SIPA1	S+	3.69965748207974	0.000199683655248242
SKIC2	S+	2.3381153036084	0.0045907611361403
SKP2	O+	2.1099228733734	0.00776384983077471
SLC2A3	S+	2.50497121158553	0.0031262865948348
SLC5A3	O+	2.16821095379833	0.0067887379698893
SLC6A6	S+	2.4039067172601	0.00394542037229574
SLC9A1	S+	5.44444299048299	3.59382569544561e-06
SLC11A1	S+	3.21412088020864	0.000610772000818777
SLC19A1	S+	5.45548520921397	3.50360220331626e-06
SLC25A1	S+	2.20023243835395	0.00630619740727111
SLC22A5	N+	3.16180369937265	0.000688963636780997
SMARCD2	S+	2.15784321924712	0.006952752673733
SMARCD3	S+	4.46729359984327	3.40962329985802e-05
SNRPA1	O+	2.28115471668438	0.00523413938025931
SNRPB	S+	2.05616262025098	0.00878693431133066
SNRPB2	O+	1.98938613383116	0.0102474041823992
SNRPD1	O+	3.27708920565782	0.000528336718355555
SNRPD2	O+	2.6716004809911	0.00213009767827791
SNRPE	O+	2.17697229116057	0.00665315603287544
SNRPF	O+	2.21029634724256	0.00616174402688806
SNRPG	O+	2.02485397499747	0.00944378355959921
SNX2	O+	2.02528401505576	0.00943443691727569
SOX12	N+	1.98958641007167	0.0102426796497882
SP1	S+	2.21276020801872	0.00612688589110579
SP2	S+	2.12265230611943	0.00753958937736957
SPARC	S+	2.36358509387661	0.00432927233443674
SPI1	S+	7.23761942565127	5.78602857787492e-08
SPINT1	S+	4.0761585500038	8.39153576704208e-05
SPP1	S+	3.85019617585587	0.000141189962911431
SPTBN1	O+	2.52358251506986	0.00299514246737532
SQLE	O+	2.41041591222444	0.00388672745198228
SRF	S+	3.21086931499744	0.000615362015491146
SRP14	O+	2.10463902163981	0.00785888580749032
SRP72	O+	4.0777388157337	8.36105700190288e-05
SRPRA	S+	3.67933398028092	0.000209250266470293
TRIM21	S+	3.56156420731855	0.000274432658451871
STAT3	S+	4.00643517335293	9.85291705208465e-05
STAT5A	S+	3.44140239901534	0.000361907514724478
STAT6	S+	5.35336516136925	4.43235807838949e-06
STK10	S+	5.15757802651865	6.95699952140906e-06
AURKC	S+	2.12575422142313	0.00748593028980795
SULT1A2	S+	3.62919493359949	0.00023485784219882
STX4	S+	2.07232710321179	0.00846589537121846
STX5	S+	3.94046795349997	0.000114691714907943
STXBP2	S+	5.74318938697515	1.8063862260004e-06
SULT1A1	S+	4.19241332098152	6.42076358054236e-05
SUPT6H	S+	2.26792343275322	0.00539605748026362
SURF4	S+	3.39412938795534	0.000403525154108633
SYK	S+	3.99873260470831	0.000100292254784595
TAF9	O+	4.1688418963819	6.77888245901202e-05
TAF10	S+	2.938695856361	0.00115160659583787
TAF11	O+	3.72567836878366	0.000188070912284392
MAP3K7	O+	2.44198762404413	0.00361420161771719
TALDO1	S+	6.18103800319719	6.59116216363843e-07
TAPBP	S+	4.01004172285478	9.77143341871749e-05
TARBP1	O+	3.06167829976896	0.000867604308876868
TARS1	O+	2.64784325173901	0.00224986649509597
TBCA	O+	2.04769605685268	0.00895991610346526
TBXA2R	S+	2.1697426387628	0.00676483738292669
TBXAS1	S+	4.38945935940545	4.07887729477596e-05
TCEA1	O+	1.98097436041808	0.0104478189852244
TCN2	S+	3.2319776631649	0.000586168311819067
TFAM	O+	2.3439405802298	0.00452959549171712
TFRC	O+	3.01608276574582	0.00096364535924299
TGFB1	S+	3.60191814910454	0.000250081664282506
TGFBR3	O+	3.01796810418678	0.000959471095195206
TGM3	S+	4.37370193328418	4.22958801439531e-05
THBS1	S+	3.08558361398033	0.000821138445222183
