symbol	lab	pvalue
KLHL21	S+	2.91473349779314e-05
MVP	S+	0.000262399920530625
DGCR2	S+	2.88971727095612e-06
SRA1	S+	0.00151772009651975
TOM1	S+	1.44375738068438e-06
SCAMP2	S+	0.000115225608000041
PPIF	S+	3.28765411326502e-06
LPCAT3	S+	2.34986867073397e-06
FLOT1	S+	2.09495173492623e-06
CTDSPL	S+	0.000570634272281429
PLIN3	S+	8.19312273899647e-07
LILRB2	S+	0.000194036207707895
BCKDK	S+	2.83831218388553e-07
SIRPB1	S+	1.76534941321056e-06
IRF9	S+	0.00174096327125122
NDRG1	S+	0.00100375814317311
UBAC1	S+	0.000250416875033901
CDIPT	S+	1.54491655111749e-05
CDC42EP2	S+	1.16355957325939e-05
IFI30	S+	3.38719204101451e-05
TACC3	S+	8.90466996442013e-06
NXF1	S+	0.00386022785471192
SEMA4D	S+	0.00469007973855229
SEMA4B	S+	1.43185995738268e-05
ATG7	S+	3.15696632244993e-06
TM9SF1	S+	0.000704485249393107
IFITM2	S+	7.57493483646418e-07
RBCK1	S+	0.00016366590457463
ARID3B	S+	6.12040675057764e-05
RGS14	S+	5.77987353493199e-06
CAMKK2	S+	3.42797850168157e-05
CNPY3	S+	6.37589295074571e-06
TSPAN9	S+	0.00209878440712144
USP19	S+	0.000258764797356176
CD300C	S+	0.00311409685171369
TRAFD1	S+	0.000497817868532962
OS9	S+	6.99338301664846e-07
CKAP4	S+	0.000731417926000504
LILRB4	S+	0.00100509754815689
RAB35	S+	0.000157076881561717
LILRA1	S+	1.33247209947812e-05
LILRB3	S+	2.30601947254149e-06
LILRA2	S+	2.04909183448148e-08
WWP2	S+	4.75248491507372e-06
TRIOBP	S+	0.000109835536228899
BAZ2A	S+	0.00949085879254697
RNF24	S+	0.000146689164501043
PACSIN2	S+	0.000462046345986974
TREX1	S+	0.00397832914193641
GABARAP	S+	6.35742618488037e-05
COPG1	S+	0.00270005528726369
NLRP1	S+	0.010320406757497
MON1B	S+	0.000304094874528587
DENND3	S+	0.000129081540491139
MAPRE3	S+	0.0060283948608708
ACIN1	S+	0.00135231272299862
KDM4B	S+	0.000195546451637454
WDTC1	S+	5.15632331772058e-06
ZSWIM8	S+	0.000368636276068807
CAMTA2	S+	6.35762009045549e-05
PLXND1	S+	0.00482504089928915
KDM6B	S+	7.59294085622287e-05
GGA3	S+	0.00272107232966736
STAB1	S+	0.00113578621905009
XPO6	S+	4.99689316910491e-06
NBEAL2	S+	0.000842351342748762
KAZN	S+	0.00492575962291422
IQCE	S+	0.00793316419026955
FKBP15	S+	0.0078035950229453
KIAA0930	S+	0.00367661733089029
SLC9A8	S+	0.000194727776103262
VPS39	S+	0.000940168675691716
SRGAP2	S+	0.00142592574219853
MAU2	S+	0.000451806558578622
NCSTN	S+	6.0597030128874e-09
FRAT2	S+	0.000175444873698747
COTL1	S+	8.30806238195425e-08
HAAO	S+	0.000412277889666033
KCTD2	S+	0.000441399734335391
SRRM2	S+	0.00755720579783122
WBP2	S+	6.2940930645285e-07
PPP1R15A	S+	4.20039382217769e-09
PISD	S+	0.000377599504310427
IL17RA	S+	4.82239529892682e-05
TFIP11	S+	0.00099085132870772
BRI3	S+	1.70020571787921e-05
YIPF3	S+	5.61379427886871e-06
BRMS1	S+	0.000499558355447958
ZDHHC5	S+	0.00277405212676667
ZNF385A	S+	6.36438524162783e-05
PNKD	S+	0.000112261481112208
TBC1D10B	S+	1.64710218436027e-06
RNF167	S+	2.80326163700731e-05
LRP10	S+	1.99000981999746e-06
SIPA1L1	S+	0.00276336760141416
TRPC4AP	S+	3.017929753013e-05
MTG2	S+	3.82378665174805e-06
TINF2	S+	0.00650820020419518
