Database	ID	Final Term	Gene Ratio	Fold Enrichment	p value	adjust p value	-Log(Adj P)	Count	Gene IDs
React	R-HSA-72312	React rRNA processing	0.0590551181102362	2.30559748684264	1.26112114393863e-05	0.0013810314414206	2.85979643389057	30	RPL7/RPL11/RPL17/RPL22/RPL26/RPL27/RPL32/RPL34/RPL37/RPL41/RPS10/RPS24/RPL23/MPHOSPH10/EMG1/RPP30/WDR3/KRR1/RPL35/EXOSC8/WDR43/EXOSC2/MTREX/GNL3/UTP25/UTP18/DDX47/GAR1/WDR75/RPL22L1
React	R-HSA-156827	React L13a-mediated translational silencing of Ceruloplasmin expression	0.0393700787401575	2.88013148841832	1.37852503227101e-05	0.0013810314414206	2.85979643389057	20	EIF2S1/EIF4A2/EIF3E/RPL7/RPL11/RPL17/RPL22/RPL26/RPL27/RPL32/RPL34/RPL37/RPL41/RPS10/RPS24/EIF3J/RPL23/EIF3M/RPL35/RPL22L1
React	R-HSA-168273	React Influenza Viral RNA Transcription and Replication	0.0433070866141732	2.52960385765733	4.36370398364445e-05	0.00365187347947487	2.43748427717217	22	GRSF1/GTF2F2/HSP90AA1/NUP88/RANBP2/RPL7/RPL11/RPL17/RPL22/RPL26/RPL27/RPL32/RPL34/RPL37/RPL41/RPS10/RPS24/RPL23/RPL35/NUP133/NUP107/RPL22L1
React	R-HSA-72689	React Formation of a pool of free 40S subunits	0.0354330708661417	2.84029988272743	4.49406271235851e-05	0.00365187347947487	2.43748427717217	18	EIF3E/RPL7/RPL11/RPL17/RPL22/RPL26/RPL27/RPL32/RPL34/RPL37/RPL41/RPS10/RPS24/EIF3J/RPL23/EIF3M/RPL35/RPL22L1
React	R-HSA-168255	React Influenza Infection	0.047244094488189	2.40529899978719	4.63940369443268e-05	0.00365187347947487	2.43748427717217	24	GRSF1/GTF2F2/HSP90AA1/NUP88/EIF2AK2/RANBP2/RPL7/RPL11/RPL17/RPL22/RPL26/RPL27/RPL32/RPL34/RPL37/RPL41/RPS10/RPS24/XPO1/RPL23/RPL35/NUP133/NUP107/RPL22L1
React	R-HSA-73856	React RNA Polymerase II Transcription Termination	0.0275590551181102	3.29615048118985	5.79473660771183e-05	0.00425719982779896	2.37087596408793	14	SRSF1/SRSF2/SRSF3/SRSF6/SRSF7/SNRPE/SNRPF/SNRPG/SRSF11/NUDT21/NCBP2/THOC7/SARNP/LSM11
React	R-HSA-192823	React Viral mRNA Translation	0.031496062992126	2.8593112607912	0.000108838742244589	0.00749626837209605	2.12515487376995	16	GRSF1/RPL7/RPL11/RPL17/RPL22/RPL26/RPL27/RPL32/RPL34/RPL37/RPL41/RPS10/RPS24/RPL23/RPL35/RPL22L1
React	R-HSA-5368287	React Mitochondrial translation	0.0334645669291339	2.71134958936585	0.000133214541684451	0.00863543676095675	2.06371569190353	17	MRPS31/MRPL42/MRPL13/MRPL15/MRPS23/MRPS33/MRPL50/PTCD3/MRPL47/MRPS35/MRPS25/MRPS9/MRPS6/MRPL32/MRPL1/GFM1/MRRF
React	R-HSA-9010553	React Regulation of expression of SLITs and ROBOs	0.0452755905511811	2.2896078845849	0.000144397299841585	0.00884032357919037	2.05353183837098	23	PSMA2/PSMA3/PSMA4/PSMA6/PSMC6/RPL7/RPL11/RPL17/RPL22/RPL26/RPL27/RPL32/RPL34/RPL37/RPL41/RPS10/RPS24/RPL23/RBX1/PSMD14/RPL35/NCBP2/RPL22L1
React	R-HSA-9633012	React Response of EIF2AK4 (GCN2) to amino acid deficiency	0.0334645669291339	2.68250544479812	0.000152703587756331	0.00885680808986718	2.05272276555305	17	ASNS/EIF2S1/RPL7/RPL11/RPL17/RPL22/RPL26/RPL27/RPL32/RPL34/RPL37/RPL41/RPS10/RPS24/RPL23/RPL35/RPL22L1
React	R-HSA-2408557	React Selenocysteine synthesis	0.031496062992126	2.72784867408815	0.000193950802329487	0.00971517200759522	2.0125495057911	16	RPL7/RPL11/RPL17/RPL22/RPL26/RPL27/RPL32/RPL34/RPL37/RPL41/RPS10/RPS24/RPL23/RPL35/SEPSECS/RPL22L1
