	Neu	OxA	SNs	x	y	r	angle	z	pvalue	col	lab
CISD3	0.0823190240306449	-0.187470504395305	0.0429738903992436	0.154567331028676	-0.199570700051809	0.252427265049751	307.7577504204	0.355137165416302	0.44143100595355	grey60	ns
GSDMA	0.283297873298081	-0.193044677273165	-0.0510433211828876	0.405341872526107	-0.12297678174602	0.42358626331785	343.122712941348	1.10660464397631	0.0782339676310739	grey60	ns
TMEM102	0.379237080646977	-0.368664964129506	-0.0198212144935672	0.573480169958514	-0.302107549136142	0.648188611887537	332.219879681107	1.32328237749696	0.0475026264281372	grey60	ns
CAVIN1	0.126620921999369	-0.203667479229601	0.0288356483013253	0.214036837463507	-0.201353614901115	0.293862290920639	316.748883292475	0.267320527284152	0.540355371136584	grey60	ns
SLC26A11	0.128243710852216	0.229411937578494	-0.162498233743605	0.0947868589347714	0.33940416436645	0.352391451962173	74.3963177377704	0.684710649462087	0.206675668259422	grey60	ns
ENDOV	0.51701068383978	-0.375955131226799	-0.0827448705032984	0.746360684704829	-0.253927534436811	0.788373936922206	341.210620299134	1.17711787799468	0.0665092609528654	grey60	ns
GDPD1	-0.195087238873587	0.670295992370051	-0.2012883619835	-0.429591054066862	0.754814192411233	0.868500396545506	119.645712064182	2.63178873080276	0.00233459348481647	red	O+
POLRMTP1	0.130999877079039	0.171343997329551	-0.138271299822941	0.114463528325735	0.268134712734325	0.291544376536224	66.8829388804641	0.550170513315485	0.281727659096107	grey60	ns
NDUFAF8	0.359202561524736	0.420935525778135	-0.357628860874252	0.327549229072794	0.674256537322817	0.749606813995669	64.0898345490344	3.18367139407835	0.000655131687448959	purple	N+O+
LINC00482	0.00924052222563514	-0.432011874537579	0.185649774128233	0.132421572430308	-0.534910678687972	0.55105798879913	283.90449767514	1.10697364053452	0.0781675246859092	grey60	ns
LGALS9B	0.0733656624431296	-0.0188287354749563	-0.0269308743637219	0.0962454673624687	0.00701665810266087	0.0965008988494391	4.16970191408438	0.00878472604781602	0.979975625815424	grey60	ns
METRNL	0.432471464740911	-0.575319088070821	0.0455540956755319	0.697353960938556	-0.537691949652865	0.880576617653565	322.366125475122	3.01048639380762	0.00097614336395244	cyan	N+S+
CYP4F35P	-0.103826290876824	0.092424050909526	0.00917003722068513	-0.15462333494193	0.0721000908215536	0.170607147578994	155.000594857101	0.0277869887168518	0.938021971948038	grey60	ns
KCTD1	-0.08845768902584	0.048088021788727	0.0213009611453609	-0.123152180492884	0.0231982750098694	0.125318073411561	169.332153544689	0.0255852421993855	0.942789545001078	grey60	ns
SIGLEC15	-0.115436526820721	-0.257320421034997	0.168630518129348	-0.0710915753678963	-0.368884334082163	0.375672282740596	259.091665759501	0.374259379348377	0.422416253753314	grey60	ns
PTGR3	-0.272008383357934	0.500719819166617	-0.0897526964215017	-0.477491944730492	0.511364198735814	0.699636978033057	133.038158837371	0.972732308775792	0.10647991388268	grey60	ns
ZNF547	-0.0218636426202115	0.282099275694002	-0.113629132847662	-0.106098714043382	0.342710854796268	0.358758508075903	107.201828178951	0.288836530630408	0.514237175128689	grey60	ns
ZIK1	-0.199557931830289	0.525136512463817	-0.135272258205547	-0.394490058959424	0.571930772281721	0.694785733086522	124.596025408062	0.702054128622521	0.198584739433469	grey60	ns
ZNF776	-0.016766249071292	0.254794606265067	-0.104061827202418	-0.0921326386026165	0.310778787694322	0.324147926071775	106.512841054349	0.304118874356183	0.496456413635221	grey60	ns
ZNF780A	-0.0110666419524987	0.335834450408292	-0.142455170042455	-0.107756282135418	0.414210961676764	0.427997823724417	104.582175448078	0.592603331097774	0.255503391298031	grey60	ns
ACTMAP	-0.0665049737794612	-0.328293648388084	0.176371592704893	0.00945605406213393	-0.437052919193516	0.43715520256998	271.239455105721	0.687779794200338	0.205220246912616	grey60	ns
PRR19	-0.0338574150832946	-0.300606914105736	0.148518601446502	0.0421867412463226	-0.388954105956021	0.391235245954441	276.190216753314	0.529344209376256	0.295566895935395	grey60	ns
ZNF575	0.381958892824872	-0.093759763182781	-0.142085972755521	0.499881760794024	0.0418517251586036	0.501630682547713	4.78582742651932	1.85971101177287	0.0138130310555158	grey60	ns
ZNF283	-0.289075365766383	0.618315158590757	-0.133302494212064	-0.531581697955729	0.650919981260075	0.840402239171882	129.237211158827	2.16991224238	0.00676219604868651	grey60	ns
PPP1R37	0.424369612866701	-0.111805033619972	-0.154503199383224	0.557523729368299	0.0369776962459753	0.558748654430948	3.79457829343118	0.677189128532032	0.210286247624195	grey60	ns
NKPD1	0.0546212300545419	-0.121313050539014	0.0271595518109846	0.101697979418556	-0.128581045401084	0.163937684057854	308.341357891004	0.444288105415467	0.359510761181263	grey60	ns
EMC10	0.234623833431484	-0.446153148045447	0.0836879450928862	0.415856434907764	-0.458855846626713	0.619261869032571	312.185699567948	1.77596868877077	0.016750636383504	grey60	ns
SIGLEC17P	0.241826573888119	-0.158784564313857	-0.0462115471682014	0.344324629629148	-0.0974910926287987	0.357860257239061	344.191212019346	0.734784928055728	0.184168381701047	grey60	ns
ZNF615	-0.0504463620635284	0.55880599587057	-0.221660384392558	-0.219019167802534	0.675903712107554	0.710503500276871	107.954346905045	2.66025945059503	0.00218645503000557	red	O+
ZNF841	0.0257689759786221	0.30319187158097	-0.14577353196537	-0.0529401938291777	0.388815444891462	0.392402999872346	97.7535785084592	0.724483676992071	0.188588984954474	grey60	ns
ZNF561-AS1	0.105741062561113	-0.0487426378309906	-0.0293089493836986	0.144766856168458	-0.016830067884587	0.145741873975528	353.368769149982	0.0365916736460586	0.919196424486684	grey60	ns
ZNF763	-0.168831687006315	0.153946097387219	0.0133029269126575	-0.252456199156253	0.121800558499756	0.280302530390423	154.244450318449	0.0143815451389794	0.967427558853724	grey60	ns
ZNF844	-0.263576139894332	0.184504903352557	0.0453343896741569	-0.378495786407688	0.120525200303224	0.397222084275921	162.336856022457	0.0116424558085872	0.97354839289401	grey60	ns
RPL10P16	0.147369281987765	-0.109970964833635	-0.0223500308273288	0.213529779818247	-0.0758819547527806	0.226612086893731	340.436342405611	0.361652840531688	0.434857694955886	grey60	ns
WDR62	-0.0635901463935888	-0.324725511394837	0.173402495282642	0.0120713616625085	-0.431391508119201	0.431560367793135	271.602854083353	1.08634538220474	0.0819699401135304	grey60	ns
ZFP82	0.123405580722832	0.128589762635522	-0.115814174306592	0.117017786558367	0.211660018176801	0.241853521094119	61.063667839304	0.329701102643418	0.468057164530795	grey60	ns
VSTM1	0.178955789316875	-0.290342531980078	0.0418519351991374	0.303201087707346	-0.287688847573836	0.417966233809957	316.503802556886	0.813909690049727	0.153493613397423	grey60	ns
