Database	ID	Final Term	Gene Ratio	Fold Enrichment	p value	adjust p value	-Log(Adj P)	Count	Gene IDs
BP	GO:0060079	BP Excitatory postsynaptic potential	0.0333333333333333	5.2196261682243	0.0010427374550401	0.0438142165785942	1.35838494931678	6	ENSG00000117152/ENSG00000109738/ENSG00000145451/ENSG00000145335/ENSG00000111249/ENSG00000149305
BP	GO:0015800	BP Acidic amino acid transport	0.0277777777777778	6.37557077625571	0.00112677671435223	0.0443970796749152	1.35264559571378	5	ENSG00000132872/ENSG00000091664/ENSG00000145335/ENSG00000139200/ENSG00000179520
BP	GO:0006813	BP Potassium ion transport	0.05	3.50523012552301	0.00113695292198565	0.0443970796749152	1.35264559571378	9	ENSG00000117152/ENSG00000091664/ENSG00000164794/ENSG00000102468/ENSG00000070729/ENSG00000140015/ENSG00000124134/ENSG00000182674/ENSG00000111262
BP	GO:0030534	BP Adult behavior	0.0388888888888889	4.34388888888889	0.00119126470432299	0.0452218966185691	1.34465122718071	7	ENSG00000109738/ENSG00000102468/ENSG00000145335/ENSG00000164326/ENSG00000173267/ENSG00000145708/ENSG00000112038
BP	GO:0008652	BP Amino acid biosynthetic process	0.0277777777777778	6.20555555555556	0.00127262921613361	0.0464234426609801	1.33326265635689	5	ENSG00000136750/ENSG00000128683/ENSG00000120053/ENSG00000060982/ENSG00000065154
BP	GO:0031340	BP Positive regulation of vesicle fusion	0.0166666666666667	13.297619047619	0.00140639603432941	0.0485512370111979	1.31379970045642	3	ENSG00000132872/ENSG00000145335/ENSG00000143858
CC	GO:0030672	CC Synaptic vesicle membrane	0.0947368421052632	11.8609182530795	1.28369575383041e-14	1.85494036428494e-12	11.7316700482475	18	ENSG00000041353/ENSG00000136750/ENSG00000152932/ENSG00000132872/ENSG00000091664/ENSG00000213760/ENSG00000169213/ENSG00000122012/ENSG00000145335/ENSG00000147676/ENSG00000163630/ENSG00000143858/ENSG00000125869/ENSG00000166111/ENSG00000115194/ENSG00000139190/ENSG00000179520/ENSG00000185666
CC	GO:1902495	CC Transmembrane transporter complex	0.126315789473684	4.5414513881445	6.33148430491248e-10	2.61399852017101e-08	7.58269466261689	24	ENSG00000118733/ENSG00000022355/ENSG00000091664/ENSG00000213760/ENSG00000109738/ENSG00000164794/ENSG00000145451/ENSG00000070729/ENSG00000140015/ENSG00000128609/ENSG00000189043/ENSG00000156411/ENSG00000112695/ENSG00000124134/ENSG00000188730/ENSG00000173915/ENSG00000186297/ENSG00000149305/ENSG00000182674/ENSG00000004779/ENSG00000111262/ENSG00000179520/ENSG00000173660/ENSG00000110955
CC	GO:0098982	CC Gaba-ergic synapse	0.0578947368421053	9.5515494343335	2.12037010375989e-08	7.19031783543173e-07	6.14325191196436	11	ENSG00000136750/ENSG00000022355/ENSG00000128683/ENSG00000109738/ENSG00000104327/ENSG00000172020/ENSG00000054803/ENSG00000157005/ENSG00000125869/ENSG00000186297/ENSG00000149972
CC	GO:0043025	CC Neuronal cell body	0.115789473684211	4.0962556692332	2.23919932591299e-08	7.19031783543173e-07	6.14325191196436	22	ENSG00000175426/ENSG00000136750/ENSG00000104435/ENSG00000132872/ENSG00000006128/ENSG00000102468/ENSG00000145451/ENSG00000145335/ENSG00000104327/ENSG00000145242/ENSG00000141433/ENSG00000172020/ENSG00000157005/ENSG00000128564/ENSG00000173267/ENSG00000145708/ENSG00000186297/ENSG00000182674/ENSG00000111262/ENSG00000121905/ENSG00000179520/ENSG00000112038
