Eta	MaxDepth	Gamma	ColsampleByTree	MinChildWeight	subsample	nrounds	Accuracy	Kappa	AccuracySD	KappaSD
0.5	4	1	0.2	20	1	10	0.746452586030611	0	0.0602680521654603	0
0.5	4	1	0.6	1	1	10	0.747303990065458	0.209382921189304	0.0562595378117985	0.154574065143691
0.5	4	1	0.6	10	1	10	0.751881958362766	0.146086482496786	0.070044607372112	0.188324543915269
0.5	4	1	0.6	20	1	10	0.746452586030611	0	0.0602680521654603	0
0.5	4	1	1	1	1	10	0.748324787493997	0.226608094678947	0.0574768695020934	0.144429210278214
0.5	4	1	1	10	1	10	0.745426729922564	0.118291689458889	0.0628522928844861	0.170440008391333
0.5	4	1	1	20	1	10	0.746452586030611	0	0.0602680521654603	0
0.5	4	1.5	0.2	1	1	10	0.742292961408183	0.182493666060436	0.0529818714809553	0.140502007784502
0.5	4	1.5	0.2	10	1	10	0.74188049968931	0.0742422118331192	0.0589463655373532	0.131681132111847
0.5	4	1.5	0.2	20	1	10	0.746452586030611	0	0.0602680521654603	0
0.5	4	1.5	0.6	1	1	10	0.745269275751805	0.197761031450301	0.0576042272299962	0.153124461639852
0.5	4	1.5	0.6	10	1	10	0.750186306295199	0.13419793865844	0.0680717573258593	0.179559946773643
0.5	4	1.5	0.6	20	1	10	0.746452586030611	0	0.0602680521654603	0
0.5	4	1.5	1	1	1	10	0.74305921105088	0.203366561621761	0.0520435546394694	0.136697643907536
0.5	4	1.5	1	10	1	10	0.745426729922564	0.118291689458889	0.0628522928844861	0.170440008391333
0.5	4	1.5	1	20	1	10	0.746452586030611	0	0.0602680521654603	0
0.1	6	0	0.2	1	1	10	0.753547041145406	0.137988140845534	0.0540086761726645	0.152032090303483
0.1	6	0	0.2	10	1	10	0.752120596218422	0.062129776984735	0.0635112967893288	0.12313903185465
0.1	6	0	0.2	20	1	10	0.746452586030611	0	0.0602680521654603	0
0.1	6	0	0.6	1	1	10	0.736743501003125	0.171119127364222	0.0520444415771062	0.14624876386193
0.1	6	0	0.6	10	1	10	0.747169210880444	0.105202923097105	0.0600550200340507	0.136983519986815
0.1	6	0	0.6	20	1	10	0.746452586030611	0	0.0602680521654603	0
0.1	6	0	1	1	1	10	0.726246794657199	0.194138466227968	0.0631163688371489	0.166500601282196
0.1	6	0	1	10	1	10	0.743073515884176	0.121925749398142	0.0609147554070116	0.158421637836518
0.1	6	0	1	20	1	10	0.746452586030611	0	0.0602680521654603	0
0.1	6	1	0.2	1	1	10	0.74675106239471	0.131123646242829	0.0569333141607016	0.151674837771522
0.1	6	1	0.2	10	1	10	0.745678291421518	0.0332447188577031	0.0596097696745586	0.092702826215958
0.1	6	1	0.2	20	1	10	0.746452586030611	0	0.0602680521654603	0
0.1	6	1	0.6	1	1	10	0.742360082346205	0.188052009829332	0.0583271333678439	0.166916983404802
0.1	6	1	0.6	10	1	10	0.748578223544059	0.117167143431014	0.0659934882807805	0.171243972634456
0.1	6	1	0.6	20	1	10	0.746452586030611	0	0.0602680521654603	0
0.1	6	1	1	1	1	10	0.726478082471799	0.196437438620643	0.0639068173118174	0.171246207519488
0.1	6	1	1	10	1	10	0.743073515884176	0.121925749398142	0.0609147554070116	0.158421637836518
0.1	6	1	1	20	1	10	0.746452586030611	0	0.0602680521654603	0
0.1	6	1.5	0.2	1	1	10	0.753632192642726	0.131210965189507	0.0564720938222432	0.147617513568953
0.1	6	1.5	0.2	10	1	10	0.748777115075807	0.0479755125325775	0.0611628454217686	0.102763308625453
0.1	6	1.5	0.2	20	1	10	0.746452586030611	0	0.0602680521654603	0
0.1	6	1.5	0.6	1	1	10	0.737110400687407	0.171797019482866	0.0558355884681107	0.163063160434935
0.1	6	1.5	0.6	10	1	10	0.747703273932412	0.111297754154659	0.0620724780937475	0.15663217133789
0.1	6	1.5	0.6	20	1	10	0.746452586030611	0	0.0602680521654603	0
0.1	6	1.5	1	1	1	10	0.726502080777579	0.193944141341513	0.0707258305694528	0.186557168692291
0.1	6	1.5	1	10	1	10	0.743073515884176	0.121925749398142	0.0609147554070116	0.158421637836518
