Eta	MaxDepth	Gamma	ColsampleByTree	MinChildWeight	subsample	nrounds	Accuracy	Kappa	AccuracySD	KappaSD
0.1	4	1	0.6	20	1	10	0.495115207574846	0	0.0809373306907322	0
0.1	4	1	1	1	1	10	0.655998675763688	0.30643107894537	0.0772132404279979	0.154466217748467
0.1	4	1	1	10	1	10	0.624573190184064	0.243446768911474	0.0715483778718442	0.139961520838532
0.1	4	1	1	20	1	10	0.495115207574846	0	0.0809373306907322	0
0.1	4	1.5	0.2	1	1	10	0.655813995166462	0.309392722337023	0.0691605896060457	0.133575133760561
0.1	4	1.5	0.2	10	1	10	0.614125492157972	0.226804447607936	0.0657307285615699	0.127346061003161
0.1	4	1.5	0.2	20	1	10	0.495115207574846	0	0.0809373306907322	0
0.1	4	1.5	0.6	1	1	10	0.665498829239215	0.324522825635862	0.0767019459380514	0.15532737976399
0.1	4	1.5	0.6	10	1	10	0.621089351235583	0.240212689131238	0.0669339820956188	0.129525448277579
0.1	4	1.5	0.6	20	1	10	0.495115207574846	0	0.0809373306907322	0
0.1	4	1.5	1	1	1	10	0.653396124132164	0.301224753691313	0.0774118672067204	0.154659865451567
0.1	4	1.5	1	10	1	10	0.624573190184064	0.243446768911474	0.0715483778718442	0.139961520838532
0.1	4	1.5	1	20	1	10	0.495115207574846	0	0.0809373306907322	0
0.3	4	0	0.2	1	1	10	0.66044278592098	0.317000843255561	0.0554472882868591	0.115187597229488
0.3	4	0	0.2	10	1	10	0.635823613594786	0.269264705997261	0.0772344513703497	0.155726165491595
0.3	4	0	0.2	20	1	10	0.495115207574846	0	0.0809373306907322	0
0.3	4	0	0.6	1	1	10	0.668617568729673	0.328569094982971	0.0632141290541109	0.133656954193602
0.3	4	0	0.6	10	1	10	0.628958714215479	0.251905295325889	0.06773662716266	0.1405491772945
0.3	4	0	0.6	20	1	10	0.495115207574846	0	0.0809373306907322	0
0.3	4	0	1	1	1	10	0.665047154014465	0.324409335537777	0.0706903498099715	0.140183771050476
0.3	4	0	1	10	1	10	0.62773058732668	0.251066801534133	0.060446632328841	0.122502351553972
0.3	4	0	1	20	1	10	0.495115207574846	0	0.0809373306907322	0
0.3	4	1	0.2	1	1	10	0.650274395062842	0.299726661797172	0.0676886927054148	0.131827322317739
0.3	4	1	0.2	10	1	10	0.630645871762119	0.259303431171731	0.0701063394578058	0.138434220067606
0.3	4	1	0.2	20	1	10	0.495115207574846	0	0.0809373306907322	0
0.3	4	1	0.6	1	1	10	0.665468413000616	0.324969258619952	0.0625683431819109	0.127494806900956
0.3	4	1	0.6	10	1	10	0.626422621560605	0.249434162172575	0.0664265133894862	0.135331578444426
0.3	4	1	0.6	20	1	10	0.495115207574846	0	0.0809373306907322	0
0.3	4	1	1	1	1	10	0.663019825404467	0.318588695085775	0.0668264924809787	0.1360234816779
0.3	4	1	1	10	1	10	0.62773058732668	0.251066801534133	0.060446632328841	0.122502351553972
0.3	4	1	1	20	1	10	0.495115207574846	0	0.0809373306907322	0
0.3	4	1.5	0.2	1	1	10	0.659625239219674	0.318656694079568	0.0651776484981771	0.12976657294625
0.3	4	1.5	0.2	10	1	10	0.629218938867459	0.257637274316585	0.0688239308295994	0.135537377848669
0.3	4	1.5	0.2	20	1	10	0.495115207574846	0	0.0809373306907322	0
0.3	4	1.5	0.6	1	1	10	0.678041919184903	0.351254921215131	0.0726502808728169	0.143387194824892
0.3	4	1.5	0.6	10	1	10	0.629336498897439	0.256449604886266	0.0646025520826034	0.129973718539304
0.3	4	1.5	0.6	20	1	10	0.495115207574846	0	0.0809373306907322	0
0.3	4	1.5	1	1	1	10	0.670115552401779	0.332784306669457	0.0722703386579835	0.145994204451481
0.3	4	1.5	1	10	1	10	0.62773058732668	0.251066801534133	0.060446632328841	0.122502351553972
0.3	4	1.5	1	20	1	10	0.495115207574846	0	0.0809373306907322	0
0.5	4	0	0.2	1	1	10	0.652071361854448	0.301340912620086	0.0699028964091663	0.141042089332187
0.5	4	0	0.2	10	1	10	0.617689801687639	0.233365115000032	0.0706143320566595	0.14014569749281
0.5	4	0	0.2	20	1	10	0.495115207574846	0	0.0809373306907322	0
